Month,Deliveries
2017-07-01,30
2017-08-01,231
2017-09-01,1621
2017-10-01,11002
2017-11-01,17398
2017-12-01,24602
2018-01-01,20960
2018-02-01,22496
2018-03-01,24032
2018-04-01,32200
2018-05-01,27488
2018-06-01,29024
2018-07-01,38440
2018-08-01,32480
2018-09-01,42760
2018-10-01,35936
2018-11-01,37472
2018-12-01,49000
